case_id,dimension,priority,classification,total_assertions,mappable,unmappable,llm_assisted,reason
COMPAT-EXPRFN-02-003,compatibility,P1,full_scriptable,5,5,0,0,"全部断言可映射"
COMPAT-EXPRSYN-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-FLAVOR-LABEL-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-IN-TYPE-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-INJECT-02-001,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-MATFF-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-MATRIX-02-001,compatibility,P1,full_scriptable,6,6,0,0,"全部断言可映射"
COMPAT-MIGR-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-MULTILINE-DELIM-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-NO-WIN-MAC-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-OUTPUT-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-OUTPUT-LIMIT-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-PATHS-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-PERMS-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-POST-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-PR-COMM-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-PR-TARGET-02-001,compatibility,P0,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-PR-TYPES-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-RECURSIVE-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-RUN-CTX-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-RUN-LBL-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-RUNNER-NAME-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-RUNSON-EQUIV-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-RUNSON-MIGR-02-001,compatibility,P0,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-SCHEDULE-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-SECRET-M-02-001,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-SETUP-STAR-02-001,compatibility,P2,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-STAGE-FIELDS-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-STAGES-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-STAGES-ORCH-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-STAGES-SYNTAX-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-SYSENV-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-SYSENV-MAP-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-TOOLCHAIN-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-UNKNOWN-TOP-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-UNSUPP-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-USES-REF-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-USING-RUNTIME-02-001,compatibility,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-VAR-02-001,compatibility,P1,full_scriptable,5,5,0,0,"全部断言可映射"
COMPAT-VAR-02-002,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-VAR-02-003,compatibility,P1,full_scriptable,4,4,0,0,"全部断言可映射"
COMPAT-WF-CALL-02-001,compatibility,P1,full_scriptable,2,2,0,0,"全部断言可映射"
COMPAT-WF-CMD-02-001,compatibility,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
COMPAT-WF-NEST-02-001,compatibility,P1,full_scriptable,3,3,0,0,"全部断言可映射"
COMPAT-YAML-ERROR-02-001,compatibility,P1,not_scriptable,2,0,2,2,"eval=llm_assisted, 需要 LLM 判定"
REL-ART-CACHE-02-001,reliability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
REL-CANCEL-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CANCEL-02-002,reliability,P1,full_scriptable,4,4,0,0,"全部断言可映射"
REL-CANCEL-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CANCEL-02-004,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CANCEL-02-005,reliability,P1,partial_scriptable,4,3,1,0,"target=runner_schedulable 不在引擎支持范围内（需新 infra）"
REL-CHAOS-02-001,reliability,P0,full_scriptable,4,4,0,0,"全部断言可映射"
REL-CHAOS-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CHAOS-02-003,reliability,P1,full_scriptable,1,1,0,0,"全部断言可映射"
REL-CONCUR-02-001,reliability,P1,full_scriptable,4,4,0,0,"全部断言可映射"
REL-CONCUR-02-002,reliability,P1,full_scriptable,4,4,0,0,"全部断言可映射"
REL-CONCUR-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CONCUR-02-004,reliability,P1,full_scriptable,1,1,0,0,"全部断言可映射"
REL-CONTERR-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-CONV-02-001,reliability,P1,partial_scriptable,5,4,1,0,"target=runner_scheduling 不在引擎支持范围内（需新 infra）"
REL-CRON-02-001,reliability,P1,partial_scriptable,4,3,1,0,"target=workflow_validation 不在引擎支持范围内（需新 infra）"
REL-LARGE-REPO-02-001,reliability,P2,partial_scriptable,2,1,1,0,"target=run_duration 不在引擎支持范围内（需新 infra）"
REL-MANY-STEPS-02-001,reliability,P2,partial_scriptable,2,1,1,0,"target=run_duration 不在引擎支持范围内（需新 infra）"
REL-MATRIX-02-001,reliability,P1,full_scriptable,4,4,0,0,"全部断言可映射"
REL-MATRIX-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-MATRIX-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-MATRIX-02-004,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-NEEDS-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-NEEDS-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-NEEDS-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-PREEMPT-02-001,reliability,P1,full_scriptable,4,4,0,0,"全部断言可映射"
REL-PREEMPT-02-002,reliability,P1,partial_scriptable,6,5,1,0,"target=runner_schedulable 不在引擎支持范围内（需新 infra）"
REL-PUSH-DEDUP-02-001,reliability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
REL-RACE-02-001,reliability,P1,full_scriptable,1,1,0,0,"全部断言可映射"
REL-RERUN-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RERUN-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RERUN-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RUNNER-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RUNNER-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RUNNER-02-003,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-RUNNER-RESIDUE-02-001,reliability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
REL-SCHED-02-001,reliability,P1,partial_scriptable,4,3,1,0,"target=workflow_validation 不在引擎支持范围内（需新 infra）"
REL-TIMEOUT-02-001,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-TIMEOUT-02-002,reliability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
REL-TIMEOUT-02-003,reliability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-ACTION-PERM-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-CACHE-ISOLATE-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-CONT-CRED-02-001,security,P1,full_scriptable,4,4,0,0,"全部断言可映射"
SEC-CONT-ISOLATE-02-001,security,P1,full_scriptable,4,4,0,0,"全部断言可映射"
SEC-DISK-LEAK-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-ENV-POLLUTE-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-ENV-REVIEW-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-ENV-WAIT-02-001,security,P1,full_scriptable,4,4,0,0,"全部断言可映射"
SEC-FORK-02-001,security,P0,full_scriptable,5,5,0,0,"全部断言可映射"
SEC-FORK-02-002,security,P0,full_scriptable,5,5,0,0,"全部断言可映射"
SEC-FORK-02-003,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-FORK-02-004,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-FORK-02-005,security,P0,full_scriptable,4,4,0,0,"全部断言可映射"
SEC-INJECT-02-001,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-INJECT-02-002,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-INJECT-02-003,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-INJECT-02-004,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-INJECT-02-005,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-INJECT-02-006,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-JOB-ISOLATE-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-PERMS-02-001,security,P0,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-PERMS-02-002,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-PERMS-02-003,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-REFPROT-02-001,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-RUNNER-LEAK-02-001,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-RUNNER-SHARE-02-001,security,P0,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-SECRET-MASK-02-001,security,P0,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-SECRET-MASK-02-002-V1,security,P0,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-002-V2,security,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-002,security,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SECRET-MASK-02-003,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-SECRET-MASK-02-004,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-SECRET-MASK-02-005,security,P1,full_scriptable,3,3,0,0,"全部断言可映射"
SEC-SHA-REF-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-SIDECHAN-02-001,security,P1,partial_scriptable,3,1,2,0,"target=artifacts 不在引擎支持范围内（需新 infra）; target=step_summary 不在引擎支持范围内（需新 infra）"
SEC-SUPPLY-02-001,security,P1,partial_scriptable,3,2,1,1,"eval=llm_assisted, 需要 LLM 判定"
SEC-SUPPLY-02-002,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-TOCTOU-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-TOKEN-02-001,security,P0,full_scriptable,2,2,0,0,"全部断言可映射"
SEC-TOKEN-EXPIRE-02-001,security,P1,full_scriptable,2,2,0,0,"全部断言可映射"
USE-BADGE-02-001,usability,P2,not_scriptable,4,0,4,1,"target=badge_response 不在引擎支持范围内（需新 infra）; eval=llm_assisted, 需要 LLM 判定"
USE-DEBUG-02-001,usability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
USE-DEBUG-02-002,usability,P2,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-DEBUG-02-003,usability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
USE-DEBUG-02-004,usability,P2,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-DOC-02-001,usability,P2,full_scriptable,3,3,0,0,"全部断言可映射"
USE-DOC-02-002,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-DOC-02-003,usability,P1,full_scriptable,2,2,0,0,"全部断言可映射"
USE-ERR-MSG-02-001,usability,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-002,usability,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-003,usability,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-004,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-005,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-006,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-INPUTS-DEFAULT-02-001,usability,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-001,usability,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-002,usability,P1,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-003,usability,P0,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-004,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-005,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-006,usability,P1,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-NEST-02-001,usability,P2,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-PR-CHECKS-02-001,usability,P2,not_scriptable,2,0,2,1,"target=pr_ui 不在引擎支持范围内（需新 infra）; eval=llm_assisted, 需要 LLM 判定"
USE-QUEUE-02-001,usability,P2,partial_scriptable,2,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-RERUN-02-001,usability,P1,full_scriptable,3,3,0,0,"全部断言可映射"
USE-RERUN-02-002,usability,P2,not_scriptable,1,0,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-SUMMARY-02-001,usability,P2,not_scriptable,4,0,4,1,"eval=llm_assisted, 需要 LLM 判定; target=run_ui 不在引擎支持范围内（需新 infra）"
