case_id,dimension,priority,classification,trigger_event,trigger_as,trigger_supported,fixture,fault_injection,assertions_total,assertions_mappable,assertions_unmappable,assertions_llm,blocker_count,blockers
USE-DEBUG-02-003,usability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
USE-DEBUG-02-004,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-DOC-02-001,usability,P2,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
USE-DOC-02-002,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-DOC-02-003,usability,P1,full_scriptable,push,maintainer,True,basic-ci,null,2,2,0,0,0,""
USE-ERR-MSG-02-001,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-002,usability,P1,not_scriptable,pr,maintainer,False,basic-ci,null,2,1,1,1,2,"pr 触发：需建分支+开 PR（待确认 PR API） | eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-003,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-004,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-005,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-ERR-MSG-02-006,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-INPUTS-DEFAULT-02-001,usability,P2,not_scriptable,manual,maintainer,False,basic-ci,null,2,1,1,1,2,"manual 触发：需 workflow_dispatch API（待确认端点） | eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-001,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-002,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-003,usability,P0,partial_scriptable,push,maintainer,True,with-permissions,null,2,1,1,1,2,"未知 repo_fixture 'with-permissions'，需确认测试仓前置资源 | eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-004,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-005,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-MIGR-02-006,usability,P1,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-NEST-02-001,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-PR-CHECKS-02-001,usability,P2,not_scriptable,pr,maintainer,False,basic-ci,null,2,0,2,1,3,"pr 触发：需建分支+开 PR（待确认 PR API） | target=pr_ui 不在引擎支持范围内 | eval=llm_assisted, 需要 LLM 判定"
USE-QUEUE-02-001,usability,P2,partial_scriptable,push,maintainer,True,clean,null,2,1,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-RERUN-02-001,usability,P1,full_scriptable,push,maintainer,True,basic-ci,null,3,3,0,0,0,""
USE-RERUN-02-002,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,1,0,1,1,1,"eval=llm_assisted, 需要 LLM 判定"
USE-SUMMARY-02-001,usability,P2,partial_scriptable,push,maintainer,True,basic-ci,null,4,0,4,1,4,"target=run_ui 不在引擎支持范围内 | target=run_ui 不在引擎支持范围内 | target=run_ui 不在引擎支持范围内 | eval=llm_assisted, 需要 LLM 判定"
